"","x"
"1","LEY15_T12"
"2","LEY14_T16"
"3","LEY11_T02"
"4","CEB16_T14"
"5","CEB14_T15"
"6","CEB15_D07"
"7","CEB16_T17"
"8","CEB22_T13"
"9","CEB04_T09"
"10","CEB16_T07"
"11","CEB09_T01"
"12","CEB03_T10"
"13","CEB03_T12"
"14","CEB22_T01"
"15","CEB08_T08"
"16","CEB20_T08"
"17","CEB07_T03"
"18","CEB01_T11"
"19","CEB06_T15"
"20","CEB01_T12"
"21","CEB20_T09"
"22","CEB03_T17"
"23","CEB03_T13"
"24","CEB13_T01"
"25","CEB22_T02"
"26","LEY05_T10"
"27","CEB16_T01"
"28","CEB06_T16"
"29","CEB06_T09"
"30","CEB07_T12"
"31","CEB16_T18"
"32","CEB20_T07"
"33","CEB23_T08"
"34","CEB19_T02"
"35","CEB19_T08"
"36","CEB20_T02"
"37","CEB22_T07"
"38","CEB22_T10"
"39","CEB23_T11"
"40","LEY13_T11"
"41","CEB14_T19"
"42","LEY05_T08"
"43","CEB16_T11"
"44","CEB26_T14"
"45","CEB29_T10"
"46","LEY06_T02"
"47","LEY15_T01"
"48","CEB27_T12"
"49","CEB18_T11"
"50","CEB29_T08"
"51","CEB23_T16"
"52","CEB20_T06"
"53","CEB19_T10"
