"","pop","count","taxon1","taxon2","taxon3","taxon4"
"1","LEY15",12,5,3,2,2
"2","LEY14",4,0,4,1,4
"3","LEY13",4,3,4,2,2
"4","LEY11",4,1,0,1,1
"5","LEY10",11,0,5,5,0
"6","LEY09",8,0,0,2,0
"7","LEY07",11,5,0,1,0
"8","LEY06",12,1,0,0,1
"9","CEB16",10,4,0,2,3
"10","CEB04",9,1,0,4,1
"11","LEY05",12,1,1,2,1
"12","CEB33",7,1,7,0,0
"13","CEB14",2,4,0,0,2
"14","CEB07",5,3,5,0,3
"15","CEB11",1,3,5,1,0
"16","CEB13",8,1,0,0,3
"17","CEB10",5,7,2,0,0
"18","CEB24",11,1,3,1,0
"19","CEB12",7,4,1,0,0
"20","CEB09",8,3,4,1,2
"21","CEB01",8,2,3,3,5
"22","CEB08",9,4,5,2,6
"23","CEB06",11,5,1,0,5
"24","CEB35",9,2,5,3,0
"25","CEB29",14,3,0,1,1
"26","CEB23",4,3,1,0,1
"27","CEB02",1,2,0,1,0
"28","CEB19",1,1,2,2,2
"29","CEB25",6,4,0,4,0
"30","CEB27",8,3,1,1,1
"31","CEB18",1,1,0,0,2
"32","CEB26",2,6,1,10,1
"33","CEB05",10,4,1,1,0
"34","CEB20",11,0,1,2,1
"35","LEY04",16,2,3,0,0
"36","CEB03",2,0,0,0,1
"37","CEB15",1,0,0,1,1
"38","CEB30",3,NA,NA,NA,NA
"39","CEB22",6,7,1,1,1
"40","LEY02",14,12,0,0,0
"41","CEB32",11,5,0,0,0
"42","LEY01",11,1,0,0,0
"43","CEB21",NA,1,0,0,0
